region,villager,identifier,mean_trend,p95_trend,recent_4w,TrendsScore,tier,rank,official_rank_overall,OfficialScore,TrendsScore_norm,PopularityIndex,rank_region
Japan,Charlise,チャーミー どうぶつの森,0.0,0.0,0.0,0.0,6.0,124.0,374.0,0.09466019417475724,0.0,0.0378640776699029,352
Japan,Cheri,アセロラ どうぶつの森,0.0,0.0,0.0,0.0,4.0,10.0,80.0,0.808252427184466,0.0,0.3233009708737864,111
Japan,Cherry,ハンナ どうぶつの森 住民 dog,0.0,0.0,0.0,0.0,2.0,17.0,32.0,0.9247572815533981,0.0,0.36990291262135927,69
Japan,Chester,パンタ どうぶつの森,0.031,0.0,0.0,0.022,6.0,44.0,294.0,0.28883495145631066,0.36065573770491804,0.3319274232054751,103
Japan,Chevre,ユキ どうぶつの森,0.0,0.0,0.0,0.0,3.0,25.0,65.0,0.8446601941747574,0.0,0.33786407766990295,96
Japan,Chief,チーフ どうぶつの森,0.0,0.0,0.0,0.0,5.0,20.0,150.0,0.6383495145631068,0.0,0.25533980582524274,173
Japan,Chops,トンファン どうぶつの森,0.0,0.0,0.0,0.0,6.0,127.0,377.0,0.08737864077669899,0.0,0.0349514563106796,354
Japan,Chow,チャウヤン どうぶつの森,0.0,0.0,0.0,0.0,6.0,27.0,277.0,0.33009708737864074,0.0,0.1320388349514563,274
Japan,Chrissy,クリスチーヌ どうぶつの森,0.0,0.0,0.0,0.0,4.0,2.0,72.0,0.8276699029126213,0.0,0.33106796116504855,104
Japan,Claude,ビネガー どうぶつの森,0.0,0.0,0.0,0.0,6.0,95.0,345.0,0.16504854368932043,0.0,0.06601941747572818,328
Japan,Claudia,マリリン どうぶつの森,0.0,0.0,0.0,0.0,5.0,119.0,249.0,0.3980582524271845,0.0,0.1592233009708738,252
Japan,Clay,どぐろう どうぶつの森,0.0,0.0,0.0,0.0,3.0,22.0,62.0,0.8519417475728155,0.0,0.3407766990291262,93
Japan,Cleo,アイソトープ どうぶつの森,0.0,0.0,0.0,0.0,6.0,77.0,327.0,0.20873786407766992,0.0,0.08349514563106797,312
Japan,Clyde,デースケ どうぶつの森,0.028,0.0,0.0,0.019,6.0,139.0,389.0,0.058252427184465994,0.3114754098360656,0.21018621677542576,215
Japan,Coach,テッチャン どうぶつの森,0.0,0.0,0.0,0.0,6.0,34.0,284.0,0.3131067961165048,0.0,0.12524271844660192,281
Japan,Cobb,ハカセ どうぶつの森,0.029,0.0,0.0,0.02,6.0,97.0,347.0,0.1601941747572816,0.3278688524590164,0.26079898137832247,169
Japan,Coco,やよい どうぶつの森,0.0,0.0,0.0,0.0,1.0,14.0,14.0,0.9684466019417476,0.0,0.38737864077669903,51
Japan,Cole,アマミン どうぶつの森,0.0,0.0,0.0,0.0,5.0,53.0,183.0,0.558252427184466,0.0,0.22330097087378642,201
Japan,Colton,アンソニー どうぶつの森,0.0,0.0,0.0,0.0,6.0,141.0,391.0,0.05339805825242716,0.0,0.021359223300970866,365
Japan,Cookie,ペリーヌ どうぶつの森,0.0,0.0,0.0,0.0,3.0,20.0,60.0,0.8567961165048543,0.0,0.34271844660194173,91
Japan,Cousteau,ハルマキ どうぶつの森,0.0,0.0,0.0,0.0,6.0,84.0,334.0,0.191747572815534,0.0,0.07669902912621361,318
Japan,Cranston,トキオ どうぶつの森,0.0,0.0,0.0,0.0,5.0,76.0,206.0,0.5024271844660194,0.0,0.20097087378640777,222
Japan,Croque,タイシ どうぶつの森,0.0,0.0,0.0,0.0,6.0,36.0,286.0,0.308252427184466,0.0,0.1233009708737864,282
